category_id,canonical_id,review_status,severity,term_count,phrase_count,pattern_count,vision_min_confidence,eval_hits,top_phrases,top_terms
alcohol,atc.alcohol_age_and_location_targeting_required,approved,high,20,5,1,0.55,6,buy beer | drink now | happy hour special | hangover free | happy hour,beer | wine | liquor | cocktail | alcohol | drinking | disallowed | locations | harmful | illegal
alcohol,atc.alcohol_mandatory_and_prohibited_statements,approved,high,18,3,1,0.55,5,hangover free | drink now | happy hour,alcohol | mandatory | responsible | type | distilled-spirits | containing | false | misleading | label-inconsistent | ttb's
discrimination,discrimination.discriminatory_ad_content_prohibited,approved,high,18,5,1,0.55,16,whites only | no children | christians only | no immigrants | adults only,discriminatory | hiring | denial | restriction | fair | access | education | housing | career | opportunities
discrimination,discrimination.restricted_targeting_protected_class,approved,high,18,5,1,0.55,4,whites only | no children | christians only | adults only | no immigrants,housing | employment | consumer-finance | canada | restricted | demographics | gender | marital | parental | code
drugs,atc.cbd_restricted_with_certification,approved,medium,18,3,2,0.55,4,e-cigarette | smoke free | nicotine free,outside | non-topical | ingestible | supplements | food | additives | inhalants | topical | hemp-derived | cannabidiol
drugs,atc.recreational_drugs_and_thc_prohibited,approved,high,20,6,2,0.55,4,buy weed | order cannabis | thc gummies | e-cigarette | smoke free | nicotine free,cannabis | marijuana | weed | thc | recreational | drugs | mind-altering | high | inducing | substances
drugs,atc.tobacco_advertising_format_restrictions,approved,high,18,3,2,0.55,3,e-cigarette | smoke free | nicotine free,cigarette | smokeless-tobacco | black-text-on-white | format | audio | video | exceeding | words-only | static-text | limits
drugs,atc.tobacco_and_nicotine_ads_prohibited,approved,high,20,5,2,0.55,7,e-cigarette | buy vapes | smoke cigarettes | smoke free | nicotine free,cigarette | vape | tobacco | nicotine | cigar | components | paraphernalia | simulate | smoking | e-cigarettes
financial,finance.credit_advertising_trigger_terms,approved,medium,18,6,4,0.55,5,guaranteed returns | get rich | double your money | no risk | passive income | risk free investment,personal-loan | repayment | period | representative | cost | personal | require | full | days | longer
financial,finance.crypto_restricted,approved,high,20,9,4,0.55,9,buy bitcoin | crypto investment | guaranteed crypto | guaranteed returns | get rich | double your money | no risk | passive income,crypto | bitcoin | nft | token | cryptocurrency-related | non-compliant | state | regulations | allows | categories
financial,finance.guaranteed_returns_or_risk_free,approved,high,19,8,4,0.55,9,guaranteed returns | guaranteed profits | risk free investment | double your money | no risk | passive income guaranteed | get rich | passive income,risk-free | guarantee | financial | foreclosure | prevention | modification | following | payday | reverse | mortgages
financial,finance.licensing_registration_required,approved,medium,18,6,4,0.55,0,guaranteed returns | get rich | double your money | no risk | passive income | risk free investment,financial-services | completing | location-specific | licensing | registration | advertise | financial | locations | providing | type
financial,finance.loan_modification_foreclosure_restricted,approved,high,18,6,4,0.55,1,guaranteed returns | get rich | double your money | no risk | passive income | risk free investment,loan-modification | foreclosure | guarantee | outcomes | charge | upfront | fees | non-law-firm | seek | title
financial,finance.misleading_or_unbalanced_claims,approved,high,18,6,4,0.55,9,guaranteed returns | get rich | double your money | no risk | passive income | risk free investment,financial | misleading | deceptive | unsupported | competitive | privacy | contact | info | trading | exchanges
financial,finance.mortgage_advertising_prohibited_acts,approved,high,18,6,4,0.55,5,guaranteed returns | get rich | double your money | no risk | passive income | risk free investment,dwelling-secured | misleading | fixed | rates | comparisons | false | government | current | lender's | advertisements
financial,finance.performance_claims_substantiation,approved,high,18,6,4,0.55,7,guaranteed returns | get rich | double your money | no risk | passive income | risk free investment,false | misleading | profit | earnings | representations | risk-free | low-risk | money-making | opportunity | reasonable
financial,finance.prohibited_predatory_products,approved,high,18,6,4,0.55,12,guaranteed returns | get rich | double your money | no risk | passive income | risk free investment,heavily-restricted | financial | binary | repair | personal | unlicensed | complex | speculative | cfds | spread
financial,finance.required_cost_and_risk_disclosures,approved,medium,17,6,4,0.55,0,guaranteed returns | get rich | double your money | no risk | passive income | risk free investment,financial | clearly | immediately-visible | physical | address | fees | accreditation | links | provide | business
financial,finance.testimonials_endorsements_disclosure,approved,medium,18,6,4,0.55,9,guaranteed returns | get rich | double your money | no risk | passive income | risk free investment,testimonials | endorsements | client | compensation | conflicts | interest | include | testimonial | adviser | provide
gambling,gambling.no_minors_targeting,approved,high,18,6,3,0.55,6,bet now | risk-free bet | welcome bonus | real money | online casino | sports betting,gambling | minors | unapproved | countries | online | gambling-promoting | approved | never | gaming | allow
gambling,gambling.realmoney_requires_license_and_authorization,approved,high,20,8,3,0.55,7,real money casino | sports betting | risk-free bet | welcome bonus | place a bet | bet now | real money | online casino,casino | wager | slots | online | gambling | served | valid | license | approved | countries
gambling,gambling.responsible_gambling_required,approved,medium,18,6,3,0.55,5,bet now | risk-free bet | welcome bonus | real money | online casino | sports betting,gambling | landing | pages | responsible-gambling | page | displays | responsible | warnings | legally | mandated
gambling,gambling.social_casino_no_real_money,approved,medium,18,8,3,0.55,4,real money | cash prizes | win real cash | bet now | risk-free bet | welcome bonus | online casino | sports betting,social-casino | free-to-play | offer | chance | coins | anything | monetary | value | under-18 | casino
health,health.disease_cure_treatment_claims,approved,high,18,8,4,0.55,14,cures cancer | eliminates diabetes | heals arthritis | fda approved | clinically proven | weight loss | before and after | eliminates disease,cure | heal | eliminate | non-approved | prevent | treat | disease | effective | prescription | drugs
health,health.health_privacy_sensitive_attributes,approved,high,18,6,4,0.55,1,fda approved | clinically proven | weight loss | before and after | cures cancer | eliminates disease,asserting | person's | physical | mental | health | medical | condition | struggling | depression | asserts
health,health.material_risk_safety_disclosure,approved,medium,18,6,4,0.55,2,fda approved | clinically proven | weight loss | before and after | cures cancer | eliminates disease,failure | clearly | conspicuously | disclose | limitations | significant | safety | risks | misleading | fails
health,health.negative_self_perception_body_image,approved,medium,18,9,4,0.55,2,before and after | lose weight fast | get thin | ugly body | fda approved | clinically proven | weight loss | cures cancer,diet | weight-loss | cosmetic | generate | negative | self-perception | body | shaming | before-and-after | transformation
health,health.prescription_drug_promotion_restricted,approved,high,18,6,4,0.55,3,fda approved | clinically proven | weight loss | before and after | cures cancer | eliminates disease,offering | prescription | drugs | drug | application | locations | aren't | licensed | restricts | online
health,health.rx_fair_balance_risk_disclosure,approved,high,18,6,4,0.55,1,fda approved | clinically proven | weight loss | before and after | cures cancer | eliminates disease,prescription-drug | product-claim | fair | balance | benefit | major | adequate | provision | product | present
health,health.unapproved_or_dangerous_products,approved,high,18,6,4,0.55,7,fda approved | clinically proven | weight loss | before and after | cures cancer | eliminates disease,unapproved | dangerous | substances | prescription | opioid | painkillers | speculative | experimental | treatments | doesn't
health,health.unsubstantiated_health_claims,approved,medium,18,6,4,0.55,12,fda approved | clinically proven | weight loss | before and after | cures cancer | eliminates disease,clinical-trial | recruitment | creating | misleading | expectations | tested | product | safe | clinical | trial
ip_trademark,ip.counterfeit_goods_prohibited,approved,high,18,3,1,0.55,11,fake designer | replica handbags | counterfeit goods,website | selling | counterfeit | goods | trademark | logo | identical | substantially | indistinguishable | another's
ip_trademark,ip.third_party_ip_infringement_prohibited,approved,high,18,3,1,0.55,5,fake designer | replica handbags | counterfeit goods,infringe | trademark | rights | direct | competitor | mark | confusing | deceptive | misleading | following
ip_trademark,ip.unauthorized_copyrighted_works_prohibited,approved,high,18,3,1,0.55,5,fake designer | replica handbags | counterfeit goods,selling | circulating | unauthorized | pirated | copies | copyrighted | works | movies | video | games
minors,minors.age_restricted_products_not_shown_to_minors,approved,high,18,6,2,0.55,8,for kids | under 13 | under 18 | aimed at children | for children | kids only,sensitive | categories | gambling | alcohol | adult | dating | body | modification | weight | loss
minors,minors.child_directed_content_ad_restrictions,approved,high,18,4,2,0.55,3,under 13 | under 18 | for children | kids only,made-for-kids | personalized | third-party | trackers | inciting | children | purchase | misleading | deceptive | kids
minors,minors.parental_consent_for_childrens_data,approved,high,18,4,2,0.55,3,under 13 | under 18 | for children | kids only,collecting | personal | incl | persistent | identifiers | under-13 | children | behavioral | profiling | notice
minors,minors.personalized_targeting_of_minors_restricted,approved,high,18,4,2,0.55,6,under 13 | under 18 | for children | kids only,personalized | predefined | remarketing | customer | match | custom | segments | served | eligible | kind
misleading,misleading.before_after_distortion,approved,high,18,6,4,0.55,2,before and after | before & after | transformation photos | scientifically proven | doctor recommended | clinically proven,media | manipulated | deceive | defraud | mislead | incl | fabricated | transformations | effects | manipulating
misleading,misleading.clickbait_or_fake_ui,approved,medium,18,3,4,0.55,3,scientifically proven | doctor recommended | clinically proven,fake | non-clickable | elements | mimicking | interactive | ctas | functionality | tricks | customers | clicking
misleading,misleading.exaggerated_results,approved,high,20,6,4,0.55,5,scientifically proven | clinically proven | doctor recommended | guaranteed results | miracle cure | works overnight,guaranteed | miracle | 100% | overnight | instant | proven | inaccurate | improbable | presented | likely
