category_id,candidate,kind,fn_docs,compliant_docs,score,already_in_packs,example_1,example_2,human_action,notes
discrimination,must be,phrase,3,1,2.122,no,"Hiring — must be a US citizen, no foreigners or visa holders.","Senior apartments — must be able-bodied, no disabilities or wheelchairs.",,
discrimination,must,term,3,1,1.772,no,"Hiring — must be a US citizen, no foreigners or visa holders.","Senior apartments — must be able-bodied, no disabilities or wheelchairs.",,
financial,achieve,term,3,0,6.605,no,We give you the means to achieve an extraordinary level of success,You can thank me when you achieve the financial freedom you deserve,,
financial,to make,phrase,3,1,2.339,no,"just finished analyzing your home’s market value, and we’re excited to make you an offer!","Thrive Life has an excellent opportunity, to make a decent income, sharing things you love!!",,
financial,health insurance,phrase,3,1,2.339,no,Top Health Insurance Providers,Health Insurance Give Back Program,,
financial,financial freedom,phrase,5,3,1.757,no,"Coupled with our powerful web app, your financial freedom is closer than you think!",gives you flexibility & financial freedom ??,,
financial,make,term,4,2,1.588,no,"Aligned Incentives . . . Because we invest in you, instead of the other way around, we only make money when you do",Opendoor only makes a small amount on each sale,,
financial,freedom,term,5,3,1.407,no,"Coupled with our powerful web app, your financial freedom is closer than you think!",gives you flexibility & financial freedom ??,,
financial,about,term,3,2,1.301,no,These penny stocks are about to explode — buy before everyone else!,save money without thinking about it,,
financial,health,term,8,7,1.031,no,Top Health Insurance Providers,national health enrollment center,,
health,health insurance,phrase,3,1,2.002,no,Top Health Insurance Providers,Health Insurance Give Back Program,,
health,health,term,7,2,1.809,no,Top Health Insurance Providers,national health enrollment center,,
minors,help,term,3,2,1.380,no,No parent wants his or her child to be afraid of the dark. Dream Tents are comforting. They can help alleviate fears of ,"You can wear your Shape-ups anywhere… which means you can help tone your muscles, improve your posture, and stay comfy a",,
minors,like,term,3,3,0.977,no,Now every Ticket Blaster has a Golden Ticket. Catch it and win. Win incredible prizes like a Dell Promo Gift Card Worth ,"Introducing Yoplait Splitz, the yogurt that tastes like a sundae",,
misleading,growth and retention,phrase,4,0,6.704,no,Healthy Hair Growth and Retention Vitamin,Promotes healthy growth and retention,,
misleading,and retention,phrase,4,0,6.704,no,Healthy Hair Growth and Retention Vitamin,Promotes healthy growth and retention,,
misleading,all day,phrase,4,0,6.704,no,Helps You Feel Mentally and Physically Energized All Day,Helps You Feel Mentally and Physically Energized All Day with an Extended-Release Guarana Blend,,
misleading,women misdiagnose themselves,phrase,3,0,6.417,no,two out of three women misdiagnose themselves,One in every four women misdiagnose themselves,,
misleading,women misdiagnose,phrase,3,0,6.417,no,two out of three women misdiagnose themselves,One in every four women misdiagnose themselves,,
misleading,reduces the,phrase,3,0,6.417,no,Taking Zicam Cold Remedy at the first sign of a cold: Reduces the duration of the common cold,Clinical Studies have shown: the Cold-EEZE proprietary formula reduces the duration and severity of colds by nearly half,,
misleading,public speaking,phrase,3,0,6.417,no,Bravina is specifically designed and manufactured for sufferers of public speaking anxiety,Bravina will provide you with the control and confidence you need for public speaking,,
misleading,kills the,phrase,3,0,6.417,no,Most other gums just mask bad breath. We kill the germs that cause it. New Eclipse now contains a natural ingredient tha,New Eclipse now contains a natural ingredient that kills the germs that cause bad breath,,
misleading,kill the germs,phrase,3,0,6.417,no,"Air fresheners like Febreze smell nice, but aren’t approved to kill the germs that cause odors",Most other gums just mask bad breath. We kill the germs that cause it. New Eclipse now contains a natural ingredient tha,,
misleading,kill the,phrase,3,0,6.417,no,"Air fresheners like Febreze smell nice, but aren’t approved to kill the germs that cause odors",Most other gums just mask bad breath. We kill the germs that cause it. New Eclipse now contains a natural ingredient tha,,
misleading,healthy hair growth,phrase,3,0,6.417,no,nourishes and supports healthy hair growth,encourages healthy hair growth,,
misleading,good for,phrase,3,0,6.417,no,good for. . . diarrhea,"bad for germs, good for earth",,
misleading,fill every corner,phrase,3,0,6.417,no,You don’t live in one corner. Fragrance shouldn’t either. Air Wick’s new technology releases fragrance upwards and outwa,You don’t live in one corner. Fragrance shouldn’t either. Air Wick’s new technology releases fragrance upwards and outwa,,
misleading,fill every,phrase,3,0,6.417,no,You don’t live in one corner. Fragrance shouldn’t either. Air Wick’s new technology releases fragrance upwards and outwa,You don’t live in one corner. Fragrance shouldn’t either. Air Wick’s new technology releases fragrance upwards and outwa,,
misleading,every corner with,phrase,3,0,6.417,no,You don’t live in one corner. Fragrance shouldn’t either. Air Wick’s new technology releases fragrance upwards and outwa,You don’t live in one corner. Fragrance shouldn’t either. Air Wick’s new technology releases fragrance upwards and outwa,,
privacy,targeting,term,4,2,1.590,no,[Ad targeting users by inferred race / ethnicity],[Targeting users by trade-union membership],,
