candidate_id,content,llm_label,supports_violation,precedent_id,canonical_ids,document_page,document_url,keep?
harv_0566,really are high quality,ad_copy,yes,prec.caag.cri_genetics_2024,health.unsubstantiated_health_claims|misleading.unsubstantiated_objective_claims,13,https://oag.ca.gov/system/files/attachments/press-docs/ECF%20NO%201%20FTC%20v%20CRI%20Genetics%20Complaint%20CDCal%2023cv9824.pdf,
harv_0568,unbiased product reviews for consumers looking to purchase anything related to the field of genetics,ad_copy,yes,prec.caag.cri_genetics_2024,health.unsubstantiated_health_claims|misleading.unsubstantiated_objective_claims,14,https://oag.ca.gov/system/files/attachments/press-docs/ECF%20NO%201%20FTC%20v%20CRI%20Genetics%20Complaint%20CDCal%2023cv9824.pdf,
harv_0570,Genetics Digest has a financial connection to the products sold via links on our website such as our top choice: CRI Genetics,ad_copy,no,prec.caag.cri_genetics_2024,health.unsubstantiated_health_claims|misleading.unsubstantiated_objective_claims,15,https://oag.ca.gov/system/files/attachments/press-docs/ECF%20NO%201%20FTC%20v%20CRI%20Genetics%20Complaint%20CDCal%2023cv9824.pdf,
harv_0573,examined nearly every test in the booming market,ad_copy,yes,prec.caag.cri_genetics_2024,health.unsubstantiated_health_claims|misleading.unsubstantiated_objective_claims,18,https://oag.ca.gov/system/files/attachments/press-docs/ECF%20NO%201%20FTC%20v%20CRI%20Genetics%20Complaint%20CDCal%2023cv9824.pdf,
harv_0574,sort out the great ones from the cheap knockoffs,ad_copy,yes,prec.caag.cri_genetics_2024,health.unsubstantiated_health_claims|misleading.unsubstantiated_objective_claims,18,https://oag.ca.gov/system/files/attachments/press-docs/ECF%20NO%201%20FTC%20v%20CRI%20Genetics%20Complaint%20CDCal%2023cv9824.pdf,
harv_0575,Overall Rating: Excellent,ad_copy,yes,prec.caag.cri_genetics_2024,health.unsubstantiated_health_claims|misleading.unsubstantiated_objective_claims,19,https://oag.ca.gov/system/files/attachments/press-docs/ECF%20NO%201%20FTC%20v%20CRI%20Genetics%20Complaint%20CDCal%2023cv9824.pdf,
harv_0576,lost in the market,ad_copy,yes,prec.caag.cri_genetics_2024,health.unsubstantiated_health_claims|misleading.unsubstantiated_objective_claims,20,https://oag.ca.gov/system/files/attachments/press-docs/ECF%20NO%201%20FTC%20v%20CRI%20Genetics%20Complaint%20CDCal%2023cv9824.pdf,
harv_0577,sampled DNA tests from 12 different companies,ad_copy,yes,prec.caag.cri_genetics_2024,health.unsubstantiated_health_claims|misleading.unsubstantiated_objective_claims,20,https://oag.ca.gov/system/files/attachments/press-docs/ECF%20NO%201%20FTC%20v%20CRI%20Genetics%20Complaint%20CDCal%2023cv9824.pdf,
harv_0578,analyzed them to see which ones accomplish the benefits listed,ad_copy,yes,prec.caag.cri_genetics_2024,health.unsubstantiated_health_claims|misleading.unsubstantiated_objective_claims,20,https://oag.ca.gov/system/files/attachments/press-docs/ECF%20NO%201%20FTC%20v%20CRI%20Genetics%20Complaint%20CDCal%2023cv9824.pdf,
harv_0579,Patented DNA Analysis Technology,ad_copy,yes,prec.caag.cri_genetics_2024,health.unsubstantiated_health_claims|misleading.unsubstantiated_objective_claims,21,https://oag.ca.gov/system/files/attachments/press-docs/ECF%20NO%201%20FTC%20v%20CRI%20Genetics%20Complaint%20CDCal%2023cv9824.pdf,
harv_0580,"Thank You For Your Order! Your order has been successfully processed, you will receive an email with the details",ad_copy,yes,prec.caag.cri_genetics_2024,health.unsubstantiated_health_claims|misleading.unsubstantiated_objective_claims,26,https://oag.ca.gov/system/files/attachments/press-docs/ECF%20NO%201%20FTC%20v%20CRI%20Genetics%20Complaint%20CDCal%2023cv9824.pdf,
harv_0581,"button, but then explained that if consumers hit the",ad_copy,yes,prec.caag.cri_genetics_2024,health.unsubstantiated_health_claims|misleading.unsubstantiated_objective_claims,28,https://oag.ca.gov/system/files/attachments/press-docs/ECF%20NO%201%20FTC%20v%20CRI%20Genetics%20Complaint%20CDCal%2023cv9824.pdf,
harv_0582,Thank you for your order!,ad_copy,yes,prec.caag.cri_genetics_2024,health.unsubstantiated_health_claims|misleading.unsubstantiated_objective_claims,30,https://oag.ca.gov/system/files/attachments/press-docs/ECF%20NO%201%20FTC%20v%20CRI%20Genetics%20Complaint%20CDCal%2023cv9824.pdf,
