id,label,reason,content
harv_ev_nad_glad_trash_bags_clorox_claims_2022_745d60_2852,assessable_claim,This is a self-contained advertising claim that promises a benefit related to home maintenance and health.,maintain a clean and healthy home
harv_ev_nad_galderma_nemluvio_2025_c10001_3643,assessable_claim,This is a self-contained advertising claim asserting a unique characteristic of the product.,first treatment of its kind
harv_ev_nad_air_methods_air_ambulance_transport_claims_2021_53101b_2945,not_a_claim,This appears to be a slogan or a statement of principle rather than a direct advertising claim about a product or service's features or benefits.,Living Shouldn’t Require a Membership
harv_ev_nad_charter_communications_internet_2023_ec95d2_2849,assessable_claim,This is a comparative advertising claim asserting superiority over competitors.,Satellite and other providers simply can’t compete
harv_ev_nad_shark_detect_pro_2024_a4394c_3273,fragment,This phrase is incomplete and requires additional context to understand what is 'like a full-sized Shark cordless stick'.,like a full-sized Shark cordless stick
harv_ev_nad_nad_reviews_advertising_for_dr_franks_s_joint_relief_2008_e6c113_0840,not_a_claim,"This is a product name, not an advertising claim.",Dr. Frank’s Joint Pain Relief for Dogs and Cats
harv_ev_nad_nad_recommends_reckitt_discontinue_certain_claims_th_2013_4363d2_0807,not_a_claim,"This appears to be a descriptive phrase or a humorous juxtaposition, not a direct advertising claim about a product's benefit or feature.",Sweet Citrus with a note of … E. coli
harv_ev_nad_three_january_nad_fast_track_swift_cases_2021_cc5393_3314,assessable_claim,"This is a quantifiable claim about product reviews, which could be used in advertising.","over 110,000 5-star product reviews!"
harv_ev_nad_nad_plxpharma_claims_2021_c01db0_3045,assessable_claim,This is a comparative advertising claim asserting a faster response than a specific type of aspirin.,faster . . . antiplatelet response than enteric coated aspirin
harv_ev_caru_caru_recommends_stabenfeldt_modify_advertising_priva_2009_7e6fca_0825,assessable_claim,This is a self-contained advertising claim offering a special deal and promoting a book club.,Special Offer for Girls who Love Horses & Ponies…Join the #1 Horse Book Club and get this Giant Welcome Package for just $1. Plus shipping and handling
harv_ev_nad_p_g_colgate_palmolive_participate_in_nad_forum_2007_328736_0227,fragment,"This phrase is a fragment. While it mentions publications and presentations, it doesn't form a complete advertising claim about a product or its benefits.",over 70 publications & research presentations
harv_ev_nad_nad_first_day_life_claims_2021_31721f_2814,assessable_claim,This is a self-contained advertising claim about a satisfaction guarantee.,first day-45 Day Satisfaction Guarantee
harv_ev_nad_nad_refers_advertising_for_stemulite_to_ftc_fda_for__2009_75d49d_1690,assessable_claim,This is a testimonial-style advertising claim about a personal benefit experienced.,I Have Noticed A Tremendous Energy Boost
harv_ev_nad_nad_recommends_reckitt_benckiser_discontinue_no_stre_2019_f5d9dc_0500,assessable_claim,This is a self-contained advertising claim promising a benefit related to clothing appearance.,Clothes Look New For Longer
harv_ev_narb_narb_recommends_shell_modify_discontinue_certain_cla_2017_ecf8c0_0205,assessable_claim,This is a comparative advertising claim asserting superior protection.,no other gasoline protects better
harv_ev_nad_charter_unlimited_2025_ce7363_3523,assessable_claim,This is a self-contained advertising claim promising unlimited data usage.,use all the data you want
harv_ev_ftc_mediaalpha_insurance_leads_2025_0390,assessable_claim,This is a self-contained advertising claim describing a process as quick and easy.,Quick and Easy Eligibility Process
harv_ev_nad_nad_examines_advertising_for_natrol_s_biosil_2008_24ac28_2437,assessable_claim,This is a self-contained advertising claim promising specific benefits for hair.,"Creates Thicker, Stronger, Hair"
harv_ev_nad_glad_trash_bags_clorox_claims_2022_745d60_2853,assessable_claim,This is a self-contained advertising claim promising a benefit related to home cleanliness and health.,keep your home feeling clean & healthy
harv_ev_nad_nad_recommends_french_s_food_modify_discontinue_chal_2016_a6a343_0607,assessable_claim,This is a self-contained advertising claim about the quality of ingredients.,French’s: only real ingredients
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0071,not_a_claim,"This is a product name and description, not an advertising claim.",Food NetworkTM CookingreenTM 2-pk. Striped Kitchen Towels
harv_ev_narb_t_mobile_phone_upgrade_2023_1b6188_3444,assessable_claim,This is a comparative advertising claim criticizing competitors' practices.,AT&T and Verizon rope you in with phone offers then bind you to a three-year device contract
harv_ev_nad_nad_refers_advertising_for_sunpill_to_ftc_2007_7f9742_0010,assessable_claim,This is a self-contained advertising claim providing instructions for product use and implying a benefit during sun exposure.,"during prolonged sun exposure, take two tablets"
harv_ev_caag_cri_genetics_2024_0574,fragment,This phrase is a fragment. It implies a comparison but doesn't specify what is being sorted or in what context.,sort out the great ones from the cheap knockoffs
harv_ev_ftc_intuit_turbotax_free_2022_0338,assessable_claim,This is a self-contained advertising claim promising a free service.,you can file on TurboTax for absolutely nothing
harv_ev_nad_nad_reviews_advertising_for_dr_franks_s_joint_relief_2008_e6c113_0841,assessable_claim,This is a self-contained advertising claim promising pain relief for pets through a simple spray and drink method.,"You spray, your pet drinks, and the pain stops everywhere – it’s that simple"
harv_ev_nad_nad_recommends_irwin_naturals_discontinue_certain_cl_2012_6f9600_1245,fragment,This phrase is incomplete and lacks context to be a standalone claim. It describes an action but not a complete benefit or product promise.,target internal factors that influence problematic skin
harv_ev_ftc_facebook_privacy_2019_0210,not_a_claim,"This appears to be a heading or descriptive text, not an advertising claim.",Responding to Your Feedback
harv_ev_nad_nad_fertilitysmart_claims_2021_3a1106_2942,assessable_claim,This is a self-contained advertising claim about increasing egg quality.,Helps Increase Egg Quality Released in Each Ovulatory Cycle
harv_ev_nad_nad_finds_dse_healthcare_can_support_certain_claims__2016_9a783a_1868,assessable_claim,This is a self-contained advertising claim about a product's function to remove food acid.,Prelief takes out the food acid as you eat
