id,label,matcher,reason,content
harv_ev_cfpb_hello_digit_2022_0001,assessable_claim,misses,This is a self-contained advertising claim that promises a benefit ('save money') and a method ('without thinking about it'). A compliance reviewer could assess this claim for truthfulness and substantiation.,save money without thinking about it
harv_ev_cfpb_bloomtech_isa_2024_0004,assessable_claim,misses,"This is a clear, self-contained claim about the financial terms of a service, promising the absence of 'loans' and 'debt'. A compliance reviewer could assess this directly.","No loans, no debt"
harv_ev_cfpb_bloomtech_isa_2024_0005,assessable_claim,misses,This is a self-contained claim about the purpose and outcome of a product or service ('designed to get you hired'). A compliance reviewer could assess whether this design claim is substantiated.,designed to get you hired
harv_ev_cfpb_bloomtech_isa_2024_0010,assessable_claim,misses,"This is a clear, self-contained claim about a payment model ('We don’t get paid until you do'). A compliance reviewer could assess the truthfulness of this statement.",We don’t get paid until you do
harv_ev_cfpb_bloomtech_isa_2024_0011,assessable_claim,misses,"This is a self-contained advertising claim explaining a business model and its benefit ('Aligned Incentives . . . Because we invest in you, instead of the other way around, we only make money when you do'). A compliance reviewer could assess the truthfulness of this claim about aligned incentives and payment structure.","Aligned Incentives . . . Because we invest in you, instead of the other way around, we only make money when you do"
harv_ev_fda_opioid_marketing_2020_0015,assessable_claim,misses,"This is a self-contained claim about the terms of a financial arrangement, stating the absence of a 'personal guaranty of collateral'. A compliance reviewer could assess its accuracy.",no personal guaranty of collateral
harv_ev_ftc_lumosity_brain_training_2016_0020,assessable_claim,misses,This is a self-contained claim about the positive impact of a product ('Lumosity') in a specific setting ('in the Classroom') on a specific group ('Students'). A compliance reviewer could assess whether this claim is substantiated.,Lumosity in the Classroom Can Positively Impact Students
harv_ev_ftc_lumosity_brain_training_2016_0022,assessable_claim,misses,"This is a self-contained testimonial or claim about a product's benefit ('Lumosity helps me stay focused during the last mile of the race'). While a testimonial, it makes a specific performance claim that would require substantiation.",Lumosity helps me stay focused during the last mile of the race
harv_ev_ftc_lumosity_brain_training_2016_0023,assessable_claim,misses,"This is a self-contained claim presented as a question, implying a benefit ('How Brain Training Can Improve Your Athletic Game'). It suggests that brain training *can* improve athletic performance, which is an assessable claim.",How Brain Training Can Improve Your Athletic Game
harv_ev_ftc_lumosity_brain_training_2016_0024,assessable_claim,misses,"This is a self-contained claim listing multiple benefits ('Improve Your Job Performance, Attitude, and Ratings'). A compliance reviewer could assess whether these improvements are substantiated.","Improve Your Job Performance, Attitude, and Ratings"
harv_ev_ftc_lumosity_brain_training_2016_0025,not_a_claim,fires,This appears to be a topic or heading rather than an advertising claim. It describes a concept ('Cognitive Reserve and the Effects of Aging') but doesn't make a promise or statement about a product's performance or benefit.,Cognitive Reserve and the Effects of Aging
harv_ev_ftc_lumosity_brain_training_2016_0027,assessable_claim,misses,This is a self-contained claim about a specific benefit ('Improves Executive Function') for a specific group ('Breast Cancer Survivors') from a specific activity ('Cognitive Training'). A compliance reviewer could assess whether this claim is substantiated.,Cognitive Training Improves Executive Function in Breast Cancer Survivors
harv_ev_ftc_volkswagen_clean_diesel_2016_0033,assessable_claim,misses,"This is a self-contained advertising claim that directly refutes a negative perception about diesel ('It’s No Longer A Dirty Word'). It implies that modern diesel is clean, which is an assessable claim.",Diesel – It’s No Longer A Dirty Word
harv_ev_ftc_volkswagen_clean_diesel_2016_0034,assessable_claim,misses,"This is a self-contained advertising claim that directly refutes a negative perception about diesel ('It’s no longer a dirty word'). It implies that modern diesel is clean, which is an assessable claim.",Diesel. It’s no longer a dirty word
harv_ev_ftc_volkswagen_clean_diesel_2016_0035,assessable_claim,misses,This is a self-contained claim about the design purpose of a product ('designed to reduce emissions'). A compliance reviewer could assess whether the product is indeed designed for and achieves this purpose.,designed to reduce emissions
harv_ev_ftc_volkswagen_clean_diesel_2016_0036,assessable_claim,misses,"This is a self-contained advertising claim that makes multiple specific, quantifiable promises: 'Diesel is not dirty', 'clean-diesel technology such as ours can achieve 40-percent better fuel economy and reduce nitrogen-oxide emissions by 90%'. These are all assessable claims requiring substantiation.",Diesel is not dirty. This marathon is about getting the word out that clean-diesel technology such as ours can achieve 40-percent better fuel economy and reduce nitrogen-oxide emissions by 90%
harv_ev_ftc_volkswagen_clean_diesel_2016_0037,assessable_claim,fires,"This is a self-contained claim about a product component ('deNOx catalytic converter') and its specific, quantifiable benefit ('helps reduce NOx emissions by up to 90 per cent'). A compliance reviewer could assess this claim.",deNOx catalytic converter . . . helps reduce NOx emissions by up to 90 per cent
harv_ev_ftc_volkswagen_clean_diesel_2016_0038,assessable_claim,fires,"This is a self-contained claim about a product's performance and the mechanism by which it achieves it ('reduces nitrogen oxide (NOx) emissions by up to 90% by making internal engine modifications and implementing a NOx storage catalytic converter'). This is a specific, quantifiable claim that can be assessed.",reduces nitrogen oxide (NOx) emissions by up to 90% by making internal engine modifications and implementing a NOx storage catalytic converter
harv_ev_ftc_volkswagen_clean_diesel_2016_0039,assessable_claim,fires,"This is a self-contained superlative claim ('world’s cleanest diesel SUV'). This is a strong, assessable claim that would require substantiation against all other diesel SUVs globally.",world’s cleanest diesel SUV
harv_ev_ftc_volkswagen_clean_diesel_2016_0040,assessable_claim,misses,"This is a self-contained claim describing a product feature ('advanced exhaust emission control system'). The term 'advanced' implies superiority or effectiveness, making it an assessable claim.",advanced exhaust emission control system
harv_ev_ftc_volkswagen_clean_diesel_2016_0041,assessable_claim,misses,This is a self-contained comparative claim ('significantly less intrusive on the environment than past diesel engines'). The term 'significantly less intrusive' is an assessable claim requiring substantiation.,significantly less intrusive on the environment than past diesel engines
harv_ev_ftc_volkswagen_clean_diesel_2016_0042,assessable_claim,misses,"This is a self-contained comparative claim ('fewer NOx emissions than comparable gasoline engines'). This is a specific, assessable claim that would require substantiation.",fewer NOx emissions than comparable gasoline engines
harv_ev_ftc_volkswagen_clean_diesel_2016_0044,not_a_claim,misses,"This text appears to be a rhetorical question or descriptive narrative, possibly setting up a contrast, rather than a direct advertising claim about a specific product. It describes 'Traditional diesel coffee' in a negative light but doesn't make a claim about a product being advertised.","Traditional diesel coffee, it’s got the extra kick. It’s got the carbon monoxide, the sulfur oxide . . . . Ready for some sooty emissions, diesel particulates . . . ?"
harv_ev_ftc_volkswagen_clean_diesel_2016_0045,not_a_claim,misses,"This is a heading or a statement identifying a common misconception ('Diesel Old Wives’ Tale #6: Diesel is Dirty'). It's not a direct advertising claim about a product's features or benefits, but rather a setup to debunk a myth.",Diesel Old Wives’ Tale #6: Diesel is Dirty
harv_ev_ftc_volkswagen_clean_diesel_2016_0047,assessable_claim,misses,This is a self-contained claim about a product's certification and usability ('Certified for use in all 50 states'). This is a factual claim that can be assessed for accuracy.,Certified for use in all 50 states
harv_ev_ftc_volkswagen_clean_diesel_2016_0049,assessable_claim,fires,"This is a self-contained advertising claim that describes Volkswagen's approach to car manufacturing, promising efficiency, eco-consciousness, and fun to drive cars. A compliance reviewer could assess this claim for truthfulness and substantiation.","Think Blue is the Volkswagen way to drive progress by creating and producing cars that are more efficient, eco- conscious, and fun to drive"
harv_ev_ftc_volkswagen_clean_diesel_2016_0050,assessable_claim,misses,This is a self-contained advertising claim that makes a comparative statement about hybrids. A compliance reviewer could assess this claim for truthfulness and substantiation.,Hybrids? They’re so last year
harv_ev_ftc_volkswagen_clean_diesel_2016_0051,assessable_claim,misses,This is a self-contained advertising claim that suggests an experience of 'going green' without the typical associated feeling. A compliance reviewer could assess this claim.,Now going green doesn’t have to feel like you’re going green
harv_ev_ftc_volkswagen_clean_diesel_2016_0052,assessable_claim,misses,This is a self-contained advertising claim that makes a specific comparison about resale value between TDI clean diesel models and gasoline vehicles. A compliance reviewer could assess this claim for substantiation.,TDI ® clean diesel models typically have a higher resale value versus comparable gasoline vehicles
harv_ev_ftc_volkswagen_clean_diesel_2016_0053,fragment,fires,This phrase is incomplete. 'better resale value projections' requires context to understand what it is better than or what product it refers to.,better resale value projections
harv_ev_ftc_volkswagen_clean_diesel_2016_0055,fragment,misses,"This is a fragment because 'That's the power of German engineering' refers to something unstated. Without knowing what 'That' refers to, it cannot be assessed as a self-contained claim.",That’s the power of German engineering
harv_ev_ftc_credit_karma_preapproved_2023_0060,assessable_claim,misses,This is a self-contained advertising claim that states the recipient is 'pre-approved' for a specific credit card. A compliance reviewer could assess the truthfulness of this pre-approval.,Congrats! ... You’re pre-approved for an American Express Card
harv_ev_ftc_credit_karma_preapproved_2023_0061,assessable_claim,misses,This is a self-contained advertising claim that states the recipient is 'pre-approved' for a specific credit card. A compliance reviewer could assess the truthfulness of this pre-approval.,You’re pre-approved for this Amex Card
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0066,not_a_claim,misses,"This appears to be a product name or description, not an advertising claim about its performance or benefits.",Protect-A-Bed Bamboo Waterproof Mattress Protector
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0067,not_a_claim,misses,"This appears to be a product name or description, not an advertising claim about its performance or benefits.",Protect-A-Bed Bamboo Waterproof Pillow Protector
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0068,not_a_claim,fires,"This appears to be a product name or description, not an advertising claim about its performance or benefits.",Sleep Philosophy Bamboo Shredded Memory Foam Body Pillow
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0070,not_a_claim,misses,"This appears to be a product name or description, not an advertising claim about its performance or benefits.",Park B. Smith Ultra Spa Luxury Bamboo Solid Bath Rug
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0071,not_a_claim,misses,"This appears to be a product name or description, not an advertising claim about its performance or benefits.",Food NetworkTM CookingreenTM 2-pk. Striped Kitchen Towels
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0073,not_a_claim,misses,"This appears to be a product name or description, not an advertising claim about its performance or benefits.",Simply Vera Vera Wang 600 Thread Count Supima Cotton Rayon from Bamboo Sheet Set or Pillowcases
harv_ev_ftc_walmart_bamboo_greenwashing_2022_0074,not_a_claim,misses,"This appears to be a product name or description, not an advertising claim about its performance or benefits.",Happitat™ Fluffy Rayon From Bamboo Pillow
