kind,id,label,category_ids,pred_cats,matchers,matched,content
FN,mis_nc_003,non_compliant,misleading,,,,As recommended by Elon Musk — he made millions with this app!
FN,mis_nc_004,non_compliant,misleading,,,,Official notice from the IRS: claim your tax refund now (sponsored).
FP,mis_c_004,compliant,misleading,misleading,phrase,official partner,Official partner of the National Coffee Association (membership verified).
FP,mis_c_006,compliant,misleading,misleading,term,brand | brand,Brand ambassador Jane Doe shares why she loves our tea (paid partnership).
FP,mis_c_007,compliant,misleading,"financial,misleading",term,limited | time | terms | offer | page,Limited-time 20% off — offer and full terms shown on the linked page.
FP,mis_c_008,compliant,,"health,misleading",term,product | product | accurate | product,[Image] Product photo of the actual item with accurate color and size.
FP,mis_c_009,compliant,misleading,"financial,health",term,clearly | clearly,Ad clearly labeled 'Sponsored' with a standard call-to-action button.
FP,mis_c_010,compliant,misleading,"financial,misleading",term,financial | guarantee | outcomes | financial | financial,Financial coaching course. Outcomes depend on effort; no income is guaranteed.
FN,hlt_nc_003,non_compliant,health,,,,Our herbal drops heal Alzheimer's and prevent dementia for good.
FN,hlt_nc_006,non_compliant,health,,,,This detox tea melts belly fat fast — burn pounds while you sleep!
FP,hlt_c_001,compliant,health,misleading,term,support | support,A daily multivitamin to help support your overall wellness.
FP,hlt_c_002,compliant,health,"health,misleading",term,diet | support | support,Our protein shake supports your fitness routine. Results vary with diet and exercise.
FP,hlt_c_003,compliant,health,"financial,health",term,require | prescription | licensed | online | prescription,Certified online pharmacy — licensed and accredited. Valid prescription required.
FP,hlt_c_004,compliant,health,health,term,licensed | online,Talk to a licensed therapist online. Schedule a confidential session today.
FP,hlt_c_007,compliant,health,health,term,direct,Over-the-counter pain reliever for temporary relief of minor aches. Use as directed.
FP,hlt_c_008,compliant,health,political,phrase,elect,Stay hydrated with our electrolyte drink during your workouts.
FP,hlt_c_009,compliant,health,"health,misleading","regex,term",FDA-approved | FDA-approved | right,Ask your doctor if this FDA-approved medication is right for you. See important safety information.
FP,hlt_c_010,compliant,health,"health,misleading",term,offering | offer,Fitness studio offering beginner-friendly Pilates classes for all levels.
FP,hlt_c_015,compliant,health,health,term,balance | balanced,A balanced meal-kit service to help you cook nutritious dinners at home.
FN,fin_nc_003,non_compliant,financial,,,,"Payday loans approved in minutes — get cash today, repay next paycheck!"
FN,fin_nc_017,non_compliant,financial,,,,These penny stocks are about to explode — buy before everyone else!
FN,fin_nc_018,non_compliant,financial,,,,"Bail bonds — fast release, available 24/7, call now."
FN,fin_nc_019,non_compliant,financial,,,,"Reverse mortgage — get free money from your home, no strings attached!"
FP,fin_c_001,compliant,financial,misleading,term,terms,Open a checking account with no monthly fee. Member FDIC. Terms apply.
FP,fin_c_002,compliant,financial,financial,regex,9% APR | 9% APR | 9% APR | 9% APR | 9% APR,"Auto loan from 6.9% APR. Representative example: $20,000 over 60 months at 6.9% APR = $395/mo."
FP,fin_c_003,compliant,financial,"financial,misleading",term,adviser | loss | possible,"Work with a registered investment adviser. Investing involves risk, including possible loss of principal."
FP,fin_c_005,compliant,financial,"discrimination,financial,misleading","regex,term",personal | 99% APR | 99% APR | 99% APR | 99% APR,"Personal loan: 8.99% APR, 24–60 month terms, no prepayment penalty. Repayment period 24–60 months."
FP,fin_c_006,compliant,financial,"financial,health",term,crypto | cryptocurrency | crypto | crypto | licensed,Licensed crypto exchange (registered MSB). Cryptocurrency is volatile; you may lose money. 18+.
FP,fin_c_007,compliant,financial,"discrimination,financial","regex,term",housing | housing | 1% APR | 1% APR | 1% APR,Mortgage refinance. 7.1% APR. NMLS #123456. Equal Housing Lender.
FP,fin_c_008,compliant,financial,financial,term,guarantee | guarantee | guarantee | performance,Past performance does not guarantee future results. Please read the prospectus before investing.
